datetime,open,high,low,close,volume,average,barCount
2025-08-18 18:10:00-04:00,1.16734,1.167385,1.16728,1.16735,-1.0,-1.0,-1
2025-08-18 18:11:00-04:00,1.16735,1.16737,1.16733,1.16735,-1.0,-1.0,-1
2025-08-18 18:12:00-04:00,1.16735,1.16742,1.16735,1.167415,-1.0,-1.0,-1
2025-08-18 18:13:00-04:00,1.167415,1.167425,1.16738,1.16742,-1.0,-1.0,-1
2025-08-18 18:14:00-04:00,1.16742,1.16747,1.16724,1.16729,-1.0,-1.0,-1
2025-08-18 18:15:00-04:00,1.16729,1.167305,1.16721,1.167265,-1.0,-1.0,-1
2025-08-18 18:16:00-04:00,1.167265,1.167265,1.167115,1.167115,-1.0,-1.0,-1
2025-08-18 18:17:00-04:00,1.167115,1.167115,1.166975,1.167055,-1.0,-1.0,-1
2025-08-18 18:18:00-04:00,1.167055,1.16709,1.16702,1.16706,-1.0,-1.0,-1
2025-08-18 18:19:00-04:00,1.16706,1.16706,1.16691,1.166915,-1.0,-1.0,-1
2025-08-18 18:20:00-04:00,1.166915,1.16693,1.16682,1.16693,-1.0,-1.0,-1
2025-08-18 18:21:00-04:00,1.16693,1.16693,1.166835,1.166835,-1.0,-1.0,-1
2025-08-18 18:22:00-04:00,1.166835,1.166835,1.166635,1.16664,-1.0,-1.0,-1
2025-08-18 18:23:00-04:00,1.16664,1.16672,1.166635,1.16667,-1.0,-1.0,-1
2025-08-18 18:24:00-04:00,1.16667,1.167015,1.16667,1.166915,-1.0,-1.0,-1
2025-08-18 18:25:00-04:00,1.166915,1.16695,1.166885,1.166915,-1.0,-1.0,-1
2025-08-18 18:26:00-04:00,1.166915,1.16693,1.166905,1.16693,-1.0,-1.0,-1
2025-08-18 18:27:00-04:00,1.16693,1.166935,1.166775,1.1668,-1.0,-1.0,-1
2025-08-18 18:28:00-04:00,1.1668,1.16693,1.1668,1.1669,-1.0,-1.0,-1
2025-08-18 18:29:00-04:00,1.1669,1.166925,1.16687,1.16687,-1.0,-1.0,-1
2025-08-18 18:30:00-04:00,1.16687,1.16689,1.16687,1.16689,-1.0,-1.0,-1
2025-08-18 18:31:00-04:00,1.16689,1.16689,1.16687,1.16687,-1.0,-1.0,-1
2025-08-18 18:32:00-04:00,1.16687,1.16687,1.16666,1.16666,-1.0,-1.0,-1
2025-08-18 18:33:00-04:00,1.16666,1.16671,1.16664,1.166695,-1.0,-1.0,-1
2025-08-18 18:34:00-04:00,1.166695,1.16675,1.166695,1.16674,-1.0,-1.0,-1
2025-08-18 18:35:00-04:00,1.16674,1.166745,1.166735,1.166745,-1.0,-1.0,-1
2025-08-18 18:36:00-04:00,1.166745,1.166865,1.16673,1.166855,-1.0,-1.0,-1
2025-08-18 18:37:00-04:00,1.166855,1.166855,1.16683,1.16683,-1.0,-1.0,-1
2025-08-18 18:38:00-04:00,1.16683,1.16686,1.166785,1.166855,-1.0,-1.0,-1
2025-08-18 18:39:00-04:00,1.166855,1.166875,1.166805,1.166835,-1.0,-1.0,-1
2025-08-18 18:40:00-04:00,1.166835,1.166835,1.166815,1.166815,-1.0,-1.0,-1
2025-08-18 18:41:00-04:00,1.166815,1.16682,1.166815,1.16682,-1.0,-1.0,-1
2025-08-18 18:42:00-04:00,1.16682,1.16682,1.16675,1.16675,-1.0,-1.0,-1
2025-08-18 18:43:00-04:00,1.16675,1.16678,1.166745,1.16678,-1.0,-1.0,-1
2025-08-18 18:44:00-04:00,1.16678,1.166815,1.16678,1.166805,-1.0,-1.0,-1
2025-08-18 18:45:00-04:00,1.166805,1.166815,1.1668,1.1668,-1.0,-1.0,-1
2025-08-18 18:46:00-04:00,1.1668,1.16682,1.166755,1.166755,-1.0,-1.0,-1
2025-08-18 18:47:00-04:00,1.166755,1.16678,1.166745,1.16678,-1.0,-1.0,-1
2025-08-18 18:48:00-04:00,1.16678,1.16684,1.166765,1.166815,-1.0,-1.0,-1
2025-08-18 18:49:00-04:00,1.166815,1.16691,1.16681,1.166895,-1.0,-1.0,-1
2025-08-18 18:50:00-04:00,1.166895,1.166925,1.166895,1.166915,-1.0,-1.0,-1
2025-08-18 18:51:00-04:00,1.166915,1.166915,1.166835,1.16685,-1.0,-1.0,-1
2025-08-18 18:52:00-04:00,1.16685,1.16687,1.166815,1.16685,-1.0,-1.0,-1
2025-08-18 18:53:00-04:00,1.16685,1.16686,1.166845,1.166845,-1.0,-1.0,-1
2025-08-18 18:54:00-04:00,1.166845,1.166865,1.1668,1.166805,-1.0,-1.0,-1
2025-08-18 18:55:00-04:00,1.166805,1.166885,1.1668,1.166885,-1.0,-1.0,-1
2025-08-18 18:56:00-04:00,1.166885,1.166905,1.166865,1.166905,-1.0,-1.0,-1
2025-08-18 18:57:00-04:00,1.166905,1.166985,1.166875,1.166985,-1.0,-1.0,-1
2025-08-18 18:58:00-04:00,1.166985,1.16699,1.16689,1.1669,-1.0,-1.0,-1
2025-08-18 18:59:00-04:00,1.1669,1.16696,1.16682,1.16696,-1.0,-1.0,-1
2025-08-18 19:00:00-04:00,1.16696,1.166975,1.166765,1.166845,-1.0,-1.0,-1
2025-08-18 19:01:00-04:00,1.166845,1.166845,1.166825,1.16683,-1.0,-1.0,-1
2025-08-18 19:02:00-04:00,1.16683,1.16683,1.166755,1.166755,-1.0,-1.0,-1
2025-08-18 19:03:00-04:00,1.166755,1.166755,1.16662,1.16666,-1.0,-1.0,-1
2025-08-18 19:04:00-04:00,1.16666,1.16671,1.16662,1.16668,-1.0,-1.0,-1
2025-08-18 19:05:00-04:00,1.16668,1.16675,1.16668,1.16675,-1.0,-1.0,-1
2025-08-18 19:06:00-04:00,1.16675,1.166755,1.166745,1.166755,-1.0,-1.0,-1
2025-08-18 19:07:00-04:00,1.166755,1.16676,1.16675,1.166755,-1.0,-1.0,-1
2025-08-18 19:08:00-04:00,1.166755,1.16682,1.16671,1.166725,-1.0,-1.0,-1
2025-08-18 19:09:00-04:00,1.166725,1.16673,1.16665,1.1667,-1.0,-1.0,-1
2025-08-18 19:10:00-04:00,1.1667,1.16672,1.16664,1.16666,-1.0,-1.0,-1
2025-08-18 19:11:00-04:00,1.16666,1.166665,1.16655,1.166565,-1.0,-1.0,-1
2025-08-18 19:12:00-04:00,1.166565,1.16657,1.16651,1.16652,-1.0,-1.0,-1
2025-08-18 19:13:00-04:00,1.16652,1.166525,1.16643,1.16647,-1.0,-1.0,-1
2025-08-18 19:14:00-04:00,1.16647,1.16651,1.16647,1.16648,-1.0,-1.0,-1
2025-08-18 19:15:00-04:00,1.16648,1.16648,1.166435,1.166435,-1.0,-1.0,-1
2025-08-18 19:16:00-04:00,1.166435,1.166435,1.16627,1.16628,-1.0,-1.0,-1
2025-08-18 19:17:00-04:00,1.16628,1.16643,1.16628,1.166425,-1.0,-1.0,-1
2025-08-18 19:18:00-04:00,1.166425,1.166455,1.166345,1.166455,-1.0,-1.0,-1
2025-08-18 19:19:00-04:00,1.166455,1.16648,1.166455,1.16648,-1.0,-1.0,-1
2025-08-18 19:20:00-04:00,1.16648,1.16648,1.16647,1.16648,-1.0,-1.0,-1
2025-08-18 19:21:00-04:00,1.16648,1.16648,1.166385,1.166415,-1.0,-1.0,-1
2025-08-18 19:22:00-04:00,1.166415,1.166475,1.166405,1.166475,-1.0,-1.0,-1
2025-08-18 19:23:00-04:00,1.166475,1.166535,1.16647,1.166505,-1.0,-1.0,-1
2025-08-18 19:24:00-04:00,1.166505,1.166545,1.16649,1.16653,-1.0,-1.0,-1
2025-08-18 19:25:00-04:00,1.16653,1.166535,1.16651,1.166515,-1.0,-1.0,-1
2025-08-18 19:26:00-04:00,1.166515,1.166525,1.166505,1.166505,-1.0,-1.0,-1
2025-08-18 19:27:00-04:00,1.166505,1.16651,1.166395,1.16642,-1.0,-1.0,-1
2025-08-18 19:28:00-04:00,1.16642,1.166485,1.166405,1.16647,-1.0,-1.0,-1
2025-08-18 19:29:00-04:00,1.16647,1.166475,1.166465,1.166475,-1.0,-1.0,-1
2025-08-18 19:30:00-04:00,1.166475,1.16649,1.16647,1.16647,-1.0,-1.0,-1
2025-08-18 19:31:00-04:00,1.16647,1.16647,1.166305,1.16633,-1.0,-1.0,-1
2025-08-18 19:32:00-04:00,1.16633,1.166365,1.166325,1.166325,-1.0,-1.0,-1
2025-08-18 19:33:00-04:00,1.166325,1.166365,1.16629,1.16629,-1.0,-1.0,-1
2025-08-18 19:34:00-04:00,1.16629,1.16629,1.16626,1.166285,-1.0,-1.0,-1
2025-08-18 19:35:00-04:00,1.166285,1.16629,1.166205,1.16627,-1.0,-1.0,-1
2025-08-18 19:36:00-04:00,1.16627,1.16629,1.166225,1.16626,-1.0,-1.0,-1
2025-08-18 19:37:00-04:00,1.16626,1.16634,1.16626,1.16627,-1.0,-1.0,-1
2025-08-18 19:38:00-04:00,1.16627,1.166285,1.16623,1.166285,-1.0,-1.0,-1
2025-08-18 19:39:00-04:00,1.166285,1.166285,1.166245,1.166285,-1.0,-1.0,-1
2025-08-18 19:40:00-04:00,1.166285,1.166345,1.166285,1.166335,-1.0,-1.0,-1
2025-08-18 19:41:00-04:00,1.166335,1.166435,1.16633,1.16643,-1.0,-1.0,-1
2025-08-18 19:42:00-04:00,1.16643,1.166465,1.16638,1.166455,-1.0,-1.0,-1
2025-08-18 19:43:00-04:00,1.166455,1.16653,1.166425,1.166515,-1.0,-1.0,-1
2025-08-18 19:44:00-04:00,1.166515,1.16652,1.16646,1.166485,-1.0,-1.0,-1
2025-08-18 19:45:00-04:00,1.166485,1.166565,1.16648,1.166565,-1.0,-1.0,-1
2025-08-18 19:46:00-04:00,1.166565,1.16667,1.166555,1.166665,-1.0,-1.0,-1
2025-08-18 19:47:00-04:00,1.166665,1.166785,1.166655,1.16677,-1.0,-1.0,-1
2025-08-18 19:48:00-04:00,1.16677,1.166825,1.16674,1.16677,-1.0,-1.0,-1
2025-08-18 19:49:00-04:00,1.16677,1.16679,1.16676,1.166775,-1.0,-1.0,-1
2025-08-18 19:50:00-04:00,1.166775,1.166845,1.16675,1.16684,-1.0,-1.0,-1
2025-08-18 19:51:00-04:00,1.16684,1.166855,1.166735,1.16674,-1.0,-1.0,-1
2025-08-18 19:52:00-04:00,1.16674,1.166815,1.166735,1.166815,-1.0,-1.0,-1
2025-08-18 19:53:00-04:00,1.166815,1.166885,1.166765,1.16687,-1.0,-1.0,-1
2025-08-18 19:54:00-04:00,1.16687,1.166875,1.166775,1.166785,-1.0,-1.0,-1
2025-08-18 19:55:00-04:00,1.166785,1.16684,1.16675,1.16675,-1.0,-1.0,-1
2025-08-18 19:56:00-04:00,1.16675,1.166795,1.166735,1.16679,-1.0,-1.0,-1
2025-08-18 19:57:00-04:00,1.16679,1.16679,1.166745,1.166765,-1.0,-1.0,-1
2025-08-18 19:58:00-04:00,1.166765,1.166795,1.166765,1.16679,-1.0,-1.0,-1
2025-08-18 19:59:00-04:00,1.16679,1.166805,1.16675,1.166795,-1.0,-1.0,-1
2025-08-18 20:00:00-04:00,1.166795,1.16686,1.166725,1.166775,-1.0,-1.0,-1
2025-08-18 20:01:00-04:00,1.166775,1.16679,1.16653,1.166625,-1.0,-1.0,-1
2025-08-18 20:02:00-04:00,1.166625,1.16668,1.16659,1.166675,-1.0,-1.0,-1
2025-08-18 20:03:00-04:00,1.166675,1.16668,1.16658,1.16658,-1.0,-1.0,-1
2025-08-18 20:04:00-04:00,1.16658,1.166585,1.166475,1.166475,-1.0,-1.0,-1
2025-08-18 20:05:00-04:00,1.166475,1.166595,1.166395,1.166395,-1.0,-1.0,-1
2025-08-18 20:06:00-04:00,1.166395,1.16651,1.16639,1.16647,-1.0,-1.0,-1
2025-08-18 20:07:00-04:00,1.16647,1.166595,1.16643,1.16657,-1.0,-1.0,-1
2025-08-18 20:08:00-04:00,1.16657,1.16659,1.16653,1.166535,-1.0,-1.0,-1
2025-08-18 20:09:00-04:00,1.166535,1.166645,1.166515,1.166645,-1.0,-1.0,-1
2025-08-18 20:10:00-04:00,1.166645,1.16677,1.166645,1.166725,-1.0,-1.0,-1
2025-08-18 20:11:00-04:00,1.166725,1.16688,1.166725,1.16687,-1.0,-1.0,-1
2025-08-18 20:12:00-04:00,1.16687,1.16698,1.16687,1.166885,-1.0,-1.0,-1
2025-08-18 20:13:00-04:00,1.166885,1.16694,1.16687,1.166875,-1.0,-1.0,-1
2025-08-18 20:14:00-04:00,1.166875,1.16689,1.16677,1.16687,-1.0,-1.0,-1
2025-08-18 20:15:00-04:00,1.16687,1.167015,1.166865,1.167005,-1.0,-1.0,-1
2025-08-18 20:16:00-04:00,1.167005,1.167005,1.166885,1.166885,-1.0,-1.0,-1
2025-08-18 20:17:00-04:00,1.166885,1.166885,1.16677,1.166775,-1.0,-1.0,-1
2025-08-18 20:18:00-04:00,1.166775,1.16681,1.16663,1.16668,-1.0,-1.0,-1
2025-08-18 20:19:00-04:00,1.16668,1.166745,1.166675,1.166735,-1.0,-1.0,-1
2025-08-18 20:20:00-04:00,1.166735,1.16674,1.166675,1.16673,-1.0,-1.0,-1
